seed	replicate	model	label	factor	bits	value	predecessor	gap
20260909	0	upward_scan	RSA-250	1	414	40231163901603787254669696738757065644961195859196642283727473533288605350799305975247148255376681637615522203187486393191191	40231163901603787254669696738757065644961195859196642283727473533288605350799305975247148255376681637615522203187486393190741	450
20260909	0	upward_scan	RSA-250	2	415	69382197420141616877693095980528163787756249655844808045156350910388471199755533726074354244185071345735811788063768630986999	69382197420141616877693095980528163787756249655844808045156350910388471199755533726074354244185071345735811788063768630986171	828
20260909	0	upward_scan	RSA-260	1	431	4766437743420725176750631889265945574387503532264183209308869883733105137687247590260572488306503999963578122156673902687252329999	4766437743420725176750631889265945574387503532264183209308869883733105137687247590260572488306503999963578122156673902687252329273	726
20260909	0	upward_scan	RSA-260	2	431	4339900760969136883446553855818212385460580426763867986585255886234426471236722294429228600359219101345966460312545365247646801413	4339900760969136883446553855818212385460580426763867986585255886234426471236722294429228600359219101345966460312545365247646800309	1104
20260909	1	uniform_accepted	RSA-100	1	165	41278390935790985468022965143982989648002374982407	41278390935790985468022965143982989648002374982251	156
20260909	1	uniform_accepted	RSA-100	2	165	37275834861572070839394942317774237487276181036067	37275834861572070839394942317774237487276181036007	60
20260909	1	uniform_accepted	RSA-110	1	182	5838554982708794080366133993954439315218185812982343081	5838554982708794080366133993954439315218185812982343009	72
20260909	1	uniform_accepted	RSA-110	2	182	4714012870638772565207749757311450895500334872100285369	4714012870638772565207749757311450895500334872100285339	30
20260909	1	uniform_accepted	RSA-120	1	198	390398241384845761616572301067321889496662357502294896926467	390398241384845761616572301067321889496662357502294896926281	186
20260909	1	uniform_accepted	RSA-120	2	199	767347652015625965473070670093722976161210067189883579534673	767347652015625965473070670093722976161210067189883579534643	30
20260909	1	uniform_accepted	RSA-130	1	215	46254239346144124267923674072257255336472733634446152011206666377	46254239346144124267923674072257255336472733634446152011206666119	258
20260909	1	uniform_accepted	RSA-130	2	215	42405583588891909225626482843949981817307341657861424676986367947	42405583588891909225626482843949981817307341657861424676986367599	348
20260909	1	uniform_accepted	RSA-140	1	231	2921899598853851573655229935098975257279814653328727892909038987903923	2921899598853851573655229935098975257279814653328727892909038987902927	996
20260909	1	uniform_accepted	RSA-140	2	232	5736941116071223905915985590274148111840751053499031018767222314210393	5736941116071223905915985590274148111840751053499031018767222314210123	270
20260909	1	uniform_accepted	RSA-150	1	248	377411112470058678776585201660552671301376407266442972306231252991807890813	377411112470058678776585201660552671301376407266442972306231252991807890513	300
20260909	1	uniform_accepted	RSA-150	2	248	420134721653114667812849831911200832198646377361606977835901738770457409253	420134721653114667812849831911200832198646377361606977835901738770457409013	240
20260909	1	uniform_accepted	RSA-160	1	265	46980194021291304050672678824640751762560329477113628678007370305122672347679961	46980194021291304050672678824640751762560329477113628678007370305122672347679487	474
20260909	1	uniform_accepted	RSA-160	2	265	49395857716157440920044499172224477699465779332221202334633704286397486819895271	49395857716157440920044499172224477699465779332221202334633704286397486819895079	192
20260909	1	uniform_accepted	RSA-170	1	281	3371133692927232332650692758243527837254217451069012051133810302231511882869162049203	3371133692927232332650692758243527837254217451069012051133810302231511882869162047379	1824
20260909	1	uniform_accepted	RSA-170	2	282	6942738968574456955799044276199477090238699827409447351026728300002695564565180053147	6942738968574456955799044276199477090238699827409447351026728300002695564565180053099	48
20260909	1	uniform_accepted	RSA-180	1	298	420577258573549895981171677762317448919579030178579306935209763897979627524833235023658153	420577258573549895981171677762317448919579030178579306935209763897979627524833235023657901	252
20260909	1	uniform_accepted	RSA-180	2	298	450230163385273998738391761827705279626916282005601182700574094848358217940440557694252303	450230163385273998738391761827705279626916282005601182700574094848358217940440557694252069	234
20260909	1	uniform_accepted	RSA-190	1	314	29792314359625015344907430257919865650995525167465494608047054772747465397133420388497435760061	29792314359625015344907430257919865650995525167465494608047054772747465397133420388497435759953	108
20260909	1	uniform_accepted	RSA-190	2	315	55555388060266615061552887243605820697632059433190421722646274639392256363669507010958572444873	55555388060266615061552887243605820697632059433190421722646274639392256363669507010958572444843	30
20260909	1	uniform_accepted	RSA-200	1	331	4108423970102306412534637067486726852232860988637205040688233810117689725556298866969407974838678319	4108423970102306412534637067486726852232860988637205040688233810117689725556298866969407974838678163	156
20260909	1	uniform_accepted	RSA-200	2	332	8190866575342687621301539760071707602075391201131236762841988911532958905077768759274785442801351941	8190866575342687621301539760071707602075391201131236762841988911532958905077768759274785442801351647	294
20260909	1	uniform_accepted	RSA-210	1	348	512019121850999600031673451997892924669893070997835513827165034979132956365687449174151428546467255511943	512019121850999600031673451997892924669893070997835513827165034979132956365687449174151428546467255511679	264
20260909	1	uniform_accepted	RSA-210	2	348	515449943433448362523651332791310885333409562122783756742983788395136695089090842308541580203013467588977	515449943433448362523651332791310885333409562122783756742983788395136695089090842308541580203013467588839	138
20260909	1	uniform_accepted	RSA-220	1	364	34724151142666883331792459722475691035546466164206213138021257490058822390096883646406839943605986315598033153	34724151142666883331792459722475691035546466164206213138021257490058822390096883646406839943605986315598032973	180
20260909	1	uniform_accepted	RSA-220	2	365	62086315608592571969171275955365870450930119744060060574790019166199569557890701956726314587488688774145845541	62086315608592571969171275955365870450930119744060060574790019166199569557890701956726314587488688774145845343	198
20260909	1	uniform_accepted	RSA-230	1	381	4411453944724881895692072424599614854239958868263216610940605208026615051042433222408292484520263904884714103458039	4411453944724881895692072424599614854239958868263216610940605208026615051042433222408292484520263904884714103457781	258
20260909	1	uniform_accepted	RSA-230	2	381	4253186826059431612881085627282514589479018242341215513283666280718314811521605030449203701420182179804448709738497	4253186826059431612881085627282514589479018242341215513283666280718314811521605030449203701420182179804448709737513	984
20260909	1	uniform_accepted	RSA-240	1	397	255400019841360795703762930127508147482591661849987931140722101525916137794957982363569731300097362412907380423234201689	255400019841360795703762930127508147482591661849987931140722101525916137794957982363569731300097362412907380423234201647	42
20260909	1	uniform_accepted	RSA-240	2	398	514513363048246832888869121313687882223761305498469290666776205479270726848138404773257236257419176623295147239519014479	514513363048246832888869121313687882223761305498469290666776205479270726848138404773257236257419176623295147239519013591	888
20260909	1	uniform_accepted	RSA-250	1	414	38606960623757985146048753342261971983689421186461603368390265056599899700548236850533436287372376624172594976124569739710277	38606960623757985146048753342261971983689421186461603368390265056599899700548236850533436287372376624172594976124569739710199	78
20260909	1	uniform_accepted	RSA-250	2	415	67366826934869943192475532998752064005735727106352586322174815336517620832303528917045801580876188064877209624069432903544971	67366826934869943192475532998752064005735727106352586322174815336517620832303528917045801580876188064877209624069432903544029	942
20260909	1	uniform_accepted	RSA-260	1	431	5057473760803822643476298928369601639163640866893463060718997578602695895557853237742656275702545021946616497431494563493112873833	5057473760803822643476298928369601639163640866893463060718997578602695895557853237742656275702545021946616497431494563493112873551	282
